,Title,Author,My Rating,Number of Pages,Year Published,Original Publication Year,Date Added,recommended,isbn,categories,description,publisher
16,The Te of Piglet,Benjamin Hoff,2,257.0,2003.0,1992.0,2018-08-09,False,9781405204279,['Piglet (Fictitious character).'],Taoist philosophy explained using examples from A A Milne's Winnie-the-Pooh.,Egmont Childrens Books
17,The Evil Hours: A Biography of Post-Traumatic Stress Disorder,David J. Morris,3,352.0,2015.0,2015.0,2018-09-12,False,9780544086616,['Biography & Autobiography'],"An examination of the role of PTSD in American life by an ex-Marine, war correspondent and PTSD patient shares discussions of its widespread impact on families and the taboos that challenge its treatments. 20,000 first printing.",Eamon Dolan
18,Where Good Ideas Come from: The Natural History of Innovation,Steven Johnson,4,326.0,2010.0,2010.0,2018-09-17,False,9781594487712,['History'],"From a coral reef teeming with life to the instant success of YouTube, the author explores what kind of environment fosters the development of good ideas, identifying the seven key principles for generating great notions. By the author of Everything Bad Is Good for You.",Riverhead Books
19,When Languages Die: The Extinction of the World's Languages and the Erosion of Human Knowledge,K. David Harrison,5,304.0,2007.0,2007.0,2018-08-11,False,,['Foreign Language Study'],"Includes information on Australia, calendars, creation myths, directions, epics, fish, folksonomy, genetics, grammar, Himalayan mountains, horse, indigenous people, knowledge, literacy, maps, metaphor, months, naming, nomads, oral traditions, Os (middle Chulym), Papua New Guinea, place names, reindeer, rivers, shamans, sign languages, singing, song, species, taxonomy, units of time, time reckoning, Tofa (Tofalar, Karagas), Tuvan, writing systems, Yukaghir, etc.","Oxford University Press, USA"
20,Just My Type: A Book About Fonts,Simon Garfield,3,384.0,2011.0,2010.0,2018-09-20,False,9781846683015,['Graphic design (Typography)'],"From fonts on street signs, album covers and Ikea products, to the print in our homes and offices - Simon Garfield meets the people behind the typefaces, explains how they affect our lives and gives us a history of how it all began.",Gotham
21,The Crucible of Creation: The Burgess Shale and the Rise of Animals,Simon Conway Morris,2,276.0,2000.0,,2018-08-11,False,9780192862020,['Science'],"'tells a great story and manages to be informative at all levels. Conway Morris has a collector's eye for the sort of entertaining yet informative snippets that keep readers on their toes.'New ScientistLocated in the west of Canada, the Burgess Shale contains a unique collection of fossil remains, and has become an icon for those studying the history of life. This remarkable book takes us on a fresh journey back in time through the Burgess Shale and its astonishing collection of pre-Cambriancreatures. In an entertaining and readable style, Simon Conway Morris paints a vivid picture of the critical period which saw the diversification of all the major animal groups, and takes a controversial stance on current evolutionary theories that is sure to provoke much interest and debate.'It is less bleak in its assessment of life on earth and it is spiritually uplifting, rather than dry and mechanistic as some would have us believe'THES R'The centerpiece of The Crucible of Creation is a description, authoritative and readable, of the animals themselves.New York Times Book Review","Oxford University Press, USA"
22,This Is Your Brain on Music: The Science of a Human Obsession,Daniel J. Levitin,4,314.0,2006.0,2006.0,2018-09-22,False,9780525949695,['Psychology'],Explores the relationship between the mind and music by drawing on recent findings in the fields of neuroscience and evolutionary psychology to discuss topics such as the sources of musical tastes and the brain's responses to music.,Dutton
23,Brain Bugs: How the Brain's Flaws Shape Our Lives,Dean Buonomano,4,310.0,2011.0,2011.0,2018-09-23,True,9780393081954,['Science'],"“Excellent. . . . [Buonomano] reveals the intricate limitations and blessings of the most complex device in the known universe.”—The Atlantic The human brain may be the best piece of technology ever created, but it’s far from perfect. Drawing on colorful examples and surprising research, neuroscientist Dean Buonomano exposes the blind spots and weaknesses that beset our brains and lead us to make misguided personal, professional, and financial decisions. Whether explaining why we are susceptible to advertisements or demonstrating how false memories are formed, Brain Bugs not only explains the brain’s inherent flaws but also gives us the tools to counteract them.",W. W. Norton  Company
24,Listening Is an Act of Love: A Celebration of American Life from the StoryCorps Project,Dave Isay,3,284.0,2007.0,2007.0,2018-09-24,False,9781594201400,['Biography & Autobiography'],"A compendium of true American life stories features pieces representing every walk of life from all fifty states, in a nation-wide and thematically arranged celebration of the nation's shared humanity.",Penguin Books
25,People We Meet: Unforgettable Conversations,National Public Radio,4,3.0,2014.0,2014.0,2018-09-24,False,,[],,HighBridge Company
26,The Meaning of Everything: The Story of the Oxford English Dictionary,Simon Winchester,4,288.0,2004.0,2003.0,2018-09-27,False,9780195175004,['Biography & Autobiography'],"Traces the history of the Oxford English Dictionary from its earliest inception through its long path to completion, describes the process of creating a dictionary, and includes anecdotes about its creators and their work.","Oxford University Press, USA"
27,Horseshoe Crabs and Velvet Worms: The Story of the Animals and Plants That Time Has Left Behind,Richard Fortey,5,332.0,2012.0,2011.0,2018-08-11,False,9780307263612,['Nature'],"Presents a narrative tour of what living creatures reveal about the history of evolution, demonstrating how various organisms and ecosystems that survive from earlier periods reflect seminal events.",Knopf
28,"How Do We Look: The Body, the Divine, and the Question of Civilization",Mary Beard,4,240.0,2018.0,2018.0,2018-06-27,False,9781631494406,['Art'],"Conceived as a gorgeously illustrated accompaniment to ""How Do We Look"" and ""The Eye of Faith,"" the famed Civilisations shows on PBS, renowned classicist Mary Beard has created this elegant volume on how we have looked at art. Focusing in Part I on the Olmec heads of early Mesoamerica, the colossal statues of the pharaoh Amenhotep III, and the nudes of classical Greece, Beard explores the power, hierarchy, and gender politics of the art of the ancient world, and explains how it came to define the so-called civilized world. In Part II, Beard chronicles some of the most breathtaking religious imagery ever made--whether at Angkor Wat, Ravenna, Venice, or in the art of Jewish and Islamic calligraphers-- to show how all religions, ancient and modern, have faced irreconcilable problems in trying to picture the divine. With this classic volume, Beard redefines the Western-and male-centric legacies of Ernst Gombrich and Kenneth Clark.",Liveright
29,Jaws: The Story of a Hidden Epidemic,Sandra Kahn,2,216.0,2018.0,2018.0,2018-06-11,False,9781503604131,['Medical'],"Primitive big mouths to modern malocclusion -- Mostly chewing -- The diet, posture, and housing revolutions -- Appearance -- Development and oral posture -- Disorders of breathing and sleep -- What can you do? -- Orthodontists, dental orthopedists, orthotropists, and forwardontists -- Changing culture, improving health",Stanford University Press
30,Scott's Last Expedition: The Journals,Robert Falcon Scott,4,442.0,1996.0,1913.0,2018-10-01,False,9780786703821,['Antarctica'],"""In November 1910, the vessel Terra Nova left New Zealand carrying an international team of explorers led by Robert Falcon Scott, an Englishman determined to be the first man to reach the South Pole. Scott kept a detailed journal of his adventures until March 29, 1912, when he and the few remaining members of his team met their ends in a brutal blizzard. The daily progress of the expedition toward the pole is recorded in an immensely vivid and personal narrative, depicting the beauty of the Antarctic tundra, the harsh living conditions, and Scott's own desperation to beat rival explorers to the pole.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",Basic Books
31,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,1,438.0,2004.0,2003.0,2018-10-03,False,9780061865886,['History'],"The riveting story of Ferdinand Magellan’s historic 60,000-mile ocean voyage—now updated with a new introduction commemorating the 500th anniversary of his journey. “Prodigious research, sure-footed prose and vivid descriptions make for a thoroughly satisfying account... it is all here in the wondrous detail, a first-rate historical page turner.”— New York Times Book Review Ferdinand Magellan's daring circumnavigation of the globe in the sixteenth century was a three-year odyssey filled with sex, violence, and amazing adventure. Now in Over the Edge of the World, prize-winning biographer and journalist Laurence Bergreen entwines a variety of candid, firsthand accounts, bringing to life this groundbreaking and majestic tale of discovery that changed both the way explorers would henceforth navigate the oceans and history itself. Now updated to include a new introduction commemorating the 500th anniversary of Magellan’s voyage.",William Morrow
32,"Krakatoa: The Day the World Exploded: August 27, 1883",Simon Winchester,3,464.0,2005.0,2003.0,2018-10-05,False,9780060838591,['History'],"Simon Winchester, New York Times bestselling author of The Professor and the Madman, examines the legendary annihilation in 1883 of the volcano-island of Krakatoa, which was followed by an immense tsunami that killed nearly forty thousand people. The effects of the immense waves were felt as far away as France. Barometers in Bogotá and Washington, D.C., went haywire. Bodies were washed up in Zanzibar. The sound of the island's destruction was heard in Australia and India and on islands thousands of miles away. Most significant of all -- in view of today's new political climate -- the eruption helped to trigger in Java a wave of murderous anti-Western militancy among fundamentalist Muslims, one of the first outbreaks of Islamic-inspired killings anywhere. Krakatoa gives us an entirely new perspective on this fascinating and iconic event. This P.S. edition features an extra 16 pages of insights into the book, including author interviews, recommended reading, and more.",Harper
33,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,3,528.0,2014.0,2014.0,2018-10-10,False,9780698157224,['Psychology'],"New York Times bestselling author and neuroscientist Daniel J. Levitin shifts his keen insights from your brain on music to your brain in a sea of details. The information age is drowning us with an unprecedented deluge of data. At the same time, we’re expected to make more—and faster—decisions about our lives than ever before. No wonder, then, that the average American reports frequently losing car keys or reading glasses, missing appointments, and feeling worn out by the effort required just to keep up. But somehow some people become quite accomplished at managing information flow. In The Organized Mind, Daniel J. Levitin, PhD, uses the latest brain science to demonstrate how those people excel—and how readers can use their methods to regain a sense of mastery over the way they organize their homes, workplaces, and time. With lively, entertaining chapters on everything from the kitchen junk drawer to health care to executive office workflow, Levitin reveals how new research into the cognitive neuroscience of attention and memory can be applied to the challenges of our daily lives. This Is Your Brain on Music showed how to better play and appreciate music through an understanding of how the brain works. The Organized Mind shows how to navigate the churning flood of information in the twenty-first century with the same neuroscientific perspective.",Dutton
34,Who We Are and How We Got Here: Ancient DNA and the New Science of the Human Past,David Reich,1,335.0,2018.0,2018.0,2018-10-13,True,9781101873465,['Science'],"A groundbreaking book about how ancient DNA has profoundly changed our understanding of human history. Geneticists like David Reich have made astounding advances in the field of genomics, which is proving to be as important as archeology, linguistics, and written records as a means to understand our ancestry. In Who We Are and How We Got Here, Reich allows readers to discover how the human genome provides not only all the information a human embryo needs to develop but also the hidden story of our species. Reich delves into how the genomic revolution is transforming our understanding of modern humans and how DNA studies reveal deep inequalities among different populations, between the sexes, and among individuals. Provocatively, Reich's book suggests that there might very well be biological differences among human populations but that these differences are unlikely to conform to common stereotypes. Drawing upon revolutionary findings and unparalleled scientific studies, Who We Are and How We Got Here is a captivating glimpse into humankind--where we came from and what that says about our lives today.",Pantheon Books
35,"The Witches: Salem, 1692",Stacy Schiff,1,512.0,2016.0,2015.0,2018-10-12,False,9780316200615,['History'],"The Pulitzer Prize-winning author of Cleopatra, the #1 national bestseller, unpacks the mystery of the Salem Witch Trials. It began in 1692, over an exceptionally raw Massachusetts winter, when a minister's daughter began to scream and convulse. It ended less than a year later, but not before 19 men and women had been hanged and an elderly man crushed to death. The panic spread quickly, involving the most educated men and prominent politicians in the colony. Neighbors accused neighbors, parents and children each other. Aside from suffrage, the Salem Witch Trials represent the only moment when women played the central role in American history. In curious ways, the trials would shape the future republic. As psychologically thrilling as it is historically seminal, THE WITCHES is Stacy Schiff's account of this fantastical story-the first great American mystery unveiled fully for the first time by one of our most acclaimed historians.",Back Bay Books
36,Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,1,290.0,2018.0,2018.0,2018-08-17,False,9781984822581,['Biography & Autobiography'],"From the ingenious comic performer, founding member of Monty Python, and creator of Spamalot, comes an absurdly funny memoir of unparalleled wit and heartfelt candor We know him best for his unforgettable roles on Monty Python--from the Flying Circus to The Meaning of Life. Now, Eric Idle reflects on the meaning of his own life in this entertaining memoir that takes us on a remarkable journey from his childhood in an austere boarding school through his successful career in comedy, television, theater, and film. Coming of age as a writer and comedian during the Sixties and Seventies, Eric stumbled into the crossroads of the cultural revolution and found himself rubbing shoulders with the likes of George Harrison, David Bowie, and Robin Williams, all of whom became dear lifelong friends. With anecdotes sprinkled throughout involving other close friends and luminaries such as Mike Nichols, Mick Jagger, Steve Martin, Paul Simon, Lorne Michaels, and many more, as well as John Cleese and the Pythons themselves, Eric captures a time of tremendous creative output with equal parts hilarity and heart. In Always Look on the Bright Side of Life, named for the song he wrote for Life of Brian and which has since become the number one song played at funerals in the UK, he shares the highlights of his life and career with the kind of offbeat humor that has delighted audiences for five decades. The year 2019 marks the fiftieth anniversary of The Pythons, and Eric is marking the occasion with this hilarious memoir chock full of behind-the-scenes stories from a high-flying life featuring everyone from Princess Leia to Queen Elizabeth.",Crown
37,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,3,335.0,2008.0,2008.0,2018-10-20,False,9780446580267,['Travel'],"Draws on the author's experiences as a foreign correspondent and reporter to evaluate more than three dozen countries for their happiness potential, in a lighthearted survey that includes profiles of such locales as the American shores, glacial Iceland, and the Bhutan jungles.",Twelve
38,The Half Has Never Been Told: Slavery and the Making of American Capitalism,Edward E. Baptist,5,498.0,2014.0,2013.0,2018-10-27,True,9780465002962,['History'],Historian Edward Baptist reveals how the expansion of slavery in the first eight decades after American independence drove the evolution and modernization of the United States.,Basic Books
39,The Brain's Way of Healing: Remarkable Discoveries and Recoveries from the Frontiers of Neuroplasticity,Norman Doidge,2,409.0,2015.0,2015.0,2018-10-30,False,9780143128373,['Medical'],"""Norman Doidge's revolutionary new book shows, for the first time, how the amazing process of neuroplastic healing really works. It describes natural, non-invasive avenues into the brain provided by the forms of energy around us--light, sound, vibration, movement--which pass through our senses and our bodies to awaken the brain's own healing capacities without producing unpleasant side effects. Doidge explores cases where patients alleviated years of chronic pain or recovered from debilitating strokes or accidents; children on the autistic spectrum or with learning disorders normalizing; symptoms of multiple sclerosis, Parkinson's disease, and cerebral palsy radically improved, and other near-miracle recoveries. And we learn how to vastly reduce the risk of dementia with simple approaches anyone can use. For centuries it was believed that the brain's complexity prevented recovery from damage or disease. The Brain's Way of Healing shows that this very sophistication is the source of a unique kind of healing""--",Viking
40,The Disordered Mind: What Unusual Brains Tell Us about Ourselves,Eric R. Kandel,5,304.0,2018.0,2018.0,2018-08-09,True,9780374716103,['Science'],"A Nobel Prize–winning neuroscientist’s probing investigation of what brain disorders can tell us about human nature Eric R. Kandel, the winner of the Nobel Prize in Physiology or Medicine for his foundational research into memory storage in the brain, is one of the pioneers of modern brain science. His work continues to shape our understanding of how learning and memory work and to break down age-old barriers between the sciences and the arts. In his seminal new book, The Disordered Mind, Kandel draws on a lifetime of pathbreaking research and the work of many other leading neuroscientists to take us on an unusual tour of the brain. He confronts one of the most difficult questions we face: How does our mind, our individual sense of self, emerge from the physical matter of the brain? The brain’s 86 billion neurons communicate with one another through very precise connections. But sometimes those connections are disrupted. The brain processes that give rise to our mind can become disordered, resulting in diseases such as autism, depression, schizophrenia, Parkinson’s, addiction, and post-traumatic stress disorder. While these disruptions bring great suffering, they can also reveal the mysteries of how the brain produces our most fundamental experiences and capabilities—the very nature of what it means to be human. Studies of autism illuminate the neurological foundations of our social instincts; research into depression offers important insights on emotions and the integrity of the self; and paradigm-shifting work on addiction has led to a new understanding of the relationship between pleasure and willpower. By studying disruptions to typical brain functioning and exploring their potential treatments, we will deepen our understanding of thought, feeling, behavior, memory, and creativity. Only then can we grapple with the big question of how billions of neurons generate consciousness itself.","Farrar, Straus and Giroux"
41,We Should All Be Feminists,Chimamanda Ngozi Adichie,5,52.0,2014.0,2014.0,2018-10-30,True,9781101911761,['Political Science'],"Offers an updated definition of feminism for the twenty-first century, one rooted in inclusion and awareness.",Vintage
42,"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,5,63.0,2017.0,2017.0,2018-10-30,False,9781524733131,['Political Science'],"From the best-selling author of Americanah and We Should All Be Feminists comes a powerful new statement about feminism today--written as a letter to a friend. A few years ago, Chimamanda Ngozi Adichie received a letter from a dear friend from childhood, asking her how to raise her baby girl as a feminist. Dear Ijeawele is Adichie's letter of response. Here are fifteen invaluable suggestions--compelling, direct, wryly funny, and perceptive--for how to empower a daughter to become a strong, independent woman. From encouraging her to choose a helicopter, and not only a doll, as a toy if she so desires; having open conversations with her about clothes, makeup, and sexuality; debunking the myth that women are somehow biologically arranged to be in the kitchen making dinner, and that men can ""allow"" women to have full careers, Dear Ijeawele goes right to the heart of sexual politics in the twenty-first century. It will start a new and urgently needed conversation about what it really means to be a woman today.",Knopf
43,Amazing Rare Things: The Art of Natural History in the Age of Discovery,David Attenborough,2,223.0,2015.0,2007.0,2019-04-17,False,9780979845628,['Art'],"Describes the methods by which selected European artists, from Leonardo Da Vinci to Mark Catesby, portrayed the natural world during the Age of Discovery.",Yale University Press
44,Evicted: Poverty and Profit in the American City,Matthew Desmond,4,418.0,2016.0,2016.0,2019-06-23,False,9780553447439,['POLITICAL SCIENCE'],"A Harvard sociologist examines the challenge of eviction as a formidable cause of poverty in America, revealing how millions of people are wrongly forced from their homes and reduced to cycles of extreme disadvantage that are reinforced by dysfunctional legal systems. Set in Milwaukee, Wisconsin.",Crown
45,"Scatterbrain : How the mind's mistakes make humans creative, innovative and successful",Henning Beck,4,336.0,2019.0,,2019-10-13,False,9781771644013,['Psychology'],"In this mind-bending book, an esteemed neuroscientist explains why perfectionism is pointless--and argues that mistakes, missteps, and flaws are the keys to success. Remember that time you screwed up simple math or forgot the name of your favorite song? What if someone told you that such embarrassing ""brain farts"" are actually secret weapons, proof of your superiority to computers and AI? In Scatterbrain, we learn that boredom awakens the muse, distractions spark creativity, and misjudging time creates valuable memories, among other benefits of our faulty minds. Throughout, award-winning neuroscientist Henning Beck's hilarious asides and brain-boosting advice make for delightful reading of the most cutting-edge neuroscience our brains will (maybe never) remember.",Greysrone
46,Burn This Book: PEN Writers Speak Out on the Power of the Word,Toni Morrison,2,128.0,2009.0,2009.0,2019-10-14,False,9780061878817,['Literary Collections'],"Published in conjunction with the PEN American Center, Burn This Book is a powerful collection of essays that explore the meaning of censorship and the power of literature to inform the way we see the world, and ourselves.",Harper
47,Professor at Large: The Cornell Years,John Cleese,3,248.0,2018.0,2018.0,2018-08-17,False,9781501716577,['Biography & Autobiography'],"""Comedian and actor John Cleese in the role of Ivy League professor at Cornell University, where he is currently professor-at-large. This book includes a selection of talks, essays, and lectures and provides a unique view of Cleese's endless pursuit of intellectual discovery across a range of topics""--",Cornell University Press
